"manu_name","manu_django_id","style_name","style_django_id","home_name","code","sqft","bedrooms","baths","stories","cost","estimatedCost","link","floorplans","info"
"Express Modular","31","Cape Cod","4","Chatham Cape","em083","3265","3","3","1.5","166721","416803","http://www.expressmodular.com/view_plan.php?id=149","http://www.expressmodular.com/view_plan.php?id=149",""
"Express Modular","31","Cape Cod","4","Chatham I","em084","1846","3","2","1","106061","265153","http://www.expressmodular.com/view_plan.php?id=820","http://www.expressmodular.com/view_plan.php?id=820",""
"Express Modular","31","Cape Cod","4","Chatham II","em085","1980","3","3","1.5","69832","174580","http://www.expressmodular.com/view_plan.php?id=1057","http://www.expressmodular.com/view_plan.php?id=1057",""
"Express Modular","31","Cape Cod","4","Cherry Hill","em086","1160","3","1.5","1","64818","162045","http://www.expressmodular.com/view_plan.php?id=86","http://www.expressmodular.com/view_plan.php?id=86",""
"Express Modular","31","Two Story","5","Chesapeake","em087","2035","3","2.5","2","85053","212633","http://www.expressmodular.com/view_plan.php?id=776","http://www.expressmodular.com/view_plan.php?id=776",""
"Express Modular","31","Two Story","5","Chesapeake I","em088","1980","3","2","2","86320","215800","http://www.expressmodular.com/view_plan.php?id=789","http://www.expressmodular.com/view_plan.php?id=789",""
"Express Modular","31","Cape Cod","4","Cheshire","em089","1815","4","2.5","2","75454","188635","http://www.expressmodular.com/view_plan.php?id=154","http://www.expressmodular.com/view_plan.php?id=154",""
"Express Modular","31","Cape Cod","4","Cheshire II","em090","1815","4","2.5","2","75454","188635","http://www.expressmodular.com/view_plan.php?id=155","http://www.expressmodular.com/view_plan.php?id=155",""
"Express Modular","31","Cape Cod","4","Chesterbrook","em091","1817","3","2","1","106579","266448","http://www.expressmodular.com/view_plan.php?id=38","http://www.expressmodular.com/view_plan.php?id=38",""
"Express Modular","31","Cape Cod","4","Chicago","em092","2628","4","2.5","2","108664","271660","http://www.expressmodular.com/view_plan.php?id=168","http://www.expressmodular.com/view_plan.php?id=168",""
"Express Modular","31","Cape Cod","4","Clarion","em093","1356","3","2","1","71913","179783","http://www.expressmodular.com/view_plan.php?id=239","http://www.expressmodular.com/view_plan.php?id=239",""
"Express Modular","31","Cape Cod","4","Clermont","em094","2862","4","3","2","113259","283148","http://www.expressmodular.com/view_plan.php?id=775","http://www.expressmodular.com/view_plan.php?id=775",""
"Express Modular","31","Cape Cod","4","Collins","em095","1667","3","2","1","87893","219733","http://www.expressmodular.com/view_plan.php?id=819","http://www.expressmodular.com/view_plan.php?id=819",""
"Express Modular","31","Cape Cod","4","Columbia","em096","1586","3","2","1","81215","203038","http://www.expressmodular.com/view_plan.php?id=169","http://www.expressmodular.com/view_plan.php?id=169",""
"Express Modular","31","Cape Cod","4","Columbia II","em097","1484","3","2","1","72885","182213","http://www.expressmodular.com/view_plan.php?id=816","http://www.expressmodular.com/view_plan.php?id=816",""
"Express Modular","31","Two Story","5","Contenental 3A","em098","2163","4","2.5","2","88434","221085","http://www.expressmodular.com/view_plan.php?id=87","http://www.expressmodular.com/view_plan.php?id=87",""
"Express Modular","31","Two Story","5","Continental 6A","em099","2280","3","2.5","2","91373","228433","http://www.expressmodular.com/view_plan.php?id=88","http://www.expressmodular.com/view_plan.php?id=88",""
"Express Modular","31","Mansion","8","Cornell","em100","4046","4","2.5","2","181717","454293","http://www.expressmodular.com/view_plan.php?id=810","http://www.expressmodular.com/view_plan.php?id=810",""
"Express Modular","31","Cape Cod","4","Courtney","em101","2071","3","2","1","66909","167273","http://www.expressmodular.com/view_plan.php?id=133","http://www.expressmodular.com/view_plan.php?id=133",""
"Express Modular","31","Cape Cod","4","Courtney SL","em102","2071","3","2","1.5","66909","167273","http://www.expressmodular.com/view_plan.php?id=132","http://www.expressmodular.com/view_plan.php?id=132",""
"Express Modular","31","Cape Cod","4","Coventry","em103","2071","3","2","1","102169","255423","http://www.expressmodular.com/view_plan.php?id=240","http://www.expressmodular.com/view_plan.php?id=240",""
"Express Modular","31","Cape Cod","4","Craftsman Bungalow","em104","771","2","2.5","1","63350","158375","http://www.expressmodular.com/view_plan.php?id=119","http://www.expressmodular.com/view_plan.php?id=119",""
"Express Modular","31","Two Story","5","Craftsman Cottage","em105","945","2","1","2","69064","172660","http://www.expressmodular.com/view_plan.php?id=120","http://www.expressmodular.com/view_plan.php?id=120",""
"Express Modular","31","Cape Cod","4","Crestwood 2A","em106","1540","3","2","1","86083","215208","http://www.expressmodular.com/view_plan.php?id=89","http://www.expressmodular.com/view_plan.php?id=89",""
"Express Modular","31","Cape Cod","4","Crestwood 3A","em107","1529","4","1.5","1","68018","170045","http://www.expressmodular.com/view_plan.php?id=90","http://www.expressmodular.com/view_plan.php?id=90",""
"Express Modular","31","Cape Cod","4","Crestwood 4A","em108","1529","3","2","1","70005","175013","http://www.expressmodular.com/view_plan.php?id=91","http://www.expressmodular.com/view_plan.php?id=91",""
"Express Modular","31","Cape Cod","4","Crestwood 5A","em109","1591","3","2","1","69614","174035","http://www.expressmodular.com/view_plan.php?id=92","http://www.expressmodular.com/view_plan.php?id=92",""
"Express Modular","31","Cape Cod","4","Cumberland","em110","2016","3","2.5","1","125493","313733","http://www.expressmodular.com/view_plan.php?id=39","http://www.expressmodular.com/view_plan.php?id=39",""
"Express Modular","31","Cape Cod","4","Currituk","em111","2473","4","2","1.5","102805","257013","http://www.expressmodular.com/view_plan.php?id=1052","http://www.expressmodular.com/view_plan.php?id=1052",""
"Express Modular","31","Cape Cod","4","Dartmouth","em112","2194","3","2.5","1.5","72144","180360","http://www.expressmodular.com/view_plan.php?id=1062","http://www.expressmodular.com/view_plan.php?id=1062",""
"Express Modular","31","Two Story","5","Deer Park","em113","2397","4","2.5","2","114721","286803","http://www.expressmodular.com/view_plan.php?id=16","http://www.expressmodular.com/view_plan.php?id=16",""
"Express Modular","31","Chalet","2","Deercroft","em114","946","2","1","1","70728","176820","http://www.expressmodular.com/view_plan.php?id=9","http://www.expressmodular.com/view_plan.php?id=9",""
"Express Modular","31","Cape Cod","4","Deerwood","em115","1890","3","2","1","115256","288140","http://www.expressmodular.com/view_plan.php?id=40","http://www.expressmodular.com/view_plan.php?id=40",""
"Express Modular","31","Cape Cod","4","Delaware","em116","1144","2","1","1","66488","166220","http://www.expressmodular.com/view_plan.php?id=170","http://www.expressmodular.com/view_plan.php?id=170",""
"Express Modular","31","Cape Cod","4","Delmar Cape","em117","880","3","2.5","1.5","53357","133393","http://www.expressmodular.com/view_plan.php?id=156","http://www.expressmodular.com/view_plan.php?id=156",""
"Express Modular","31","Cape Cod","4","Denver II","em118","1608","3","2","1","75455","188638","http://www.expressmodular.com/view_plan.php?id=833","http://www.expressmodular.com/view_plan.php?id=833",""
"Express Modular","31","Two Story","5","Devylyn","em119","2924","4","3.5","2","168373","420933","http://www.expressmodular.com/view_plan.php?id=71","http://www.expressmodular.com/view_plan.php?id=71",""
"Express Modular","31","Cape Cod","4","Dillworth","em120","1733","3","2","1","109455","273638","http://www.expressmodular.com/view_plan.php?id=41","http://www.expressmodular.com/view_plan.php?id=41",""
"Express Modular","31","Cape Cod","4","Drake","em121","1235","3","2","1","67440","168600","http://www.expressmodular.com/view_plan.php?id=241","http://www.expressmodular.com/view_plan.php?id=241",""
